x J0 J1 J2
18.5000 0.077165 -0.166634 -0.095179
18.5500 0.085385 -0.162125 -0.102865
18.6000 0.093371 -0.157225 -0.110277
18.6500 0.101102 -0.151947 -0.117396
18.7000 0.108559 -0.146305 -0.124207
18.7500 0.115726 -0.140314 -0.130693
18.8000 0.122585 -0.133990 -0.136840
18.8500 0.129120 -0.127349 -0.142632
18.9000 0.135315 -0.120408 -0.148057
18.9500 0.141156 -0.113186 -0.153102
19.0000 0.146629 -0.105701 -0.157756
19.0500 0.151722 -0.097973 -0.162008
19.1000 0.156423 -0.090022 -0.165849
19.1500 0.160721 -0.081867 -0.169271
19.2000 0.164607 -0.073529 -0.172266
19.2500 0.168071 -0.065030 -0.174828
19.3000 0.171107 -0.056391 -0.176951
19.3500 0.173708 -0.047634 -0.178632
19.4000 0.175869 -0.038782 -0.179867
19.4500 0.177585 -0.029855 -0.180655
19.5000 0.178854 -0.020877 -0.180995
19.5500 0.179673 -0.011870 -0.180887
19.6000 0.180041 -0.002857 -0.180332
19.6500 0.179959 0.006141 -0.179333
19.7000 0.179427 0.015101 -0.177894
19.7500 0.178449 0.024000 -0.176019
19.8000 0.177029 0.032817 -0.173714
19.8500 0.175170 0.041530 -0.170985
19.9000 0.172878 0.050117 -0.167841
19.9500 0.170160 0.058559 -0.164290
20.0000 0.167025 0.066833 -0.160341
